model,arm,rep,passed,trap_caught,reused
sonnet,control,0,True,True,True
sonnet,control,1,True,True,True
sonnet,control,2,True,True,True
sonnet,control,3,True,True,True
sonnet,control,4,True,True,True
sonnet,control,5,True,True,True
sonnet,control,6,True,True,True
sonnet,control,7,True,True,False
sonnet,control,8,True,True,True
sonnet,control,9,True,True,True
sonnet,control,10,True,True,True
sonnet,control,11,True,True,True
sonnet,control,12,True,True,True
sonnet,control,13,True,True,True
sonnet,control,14,True,True,True
sonnet,control,15,True,True,True
sonnet,control,16,True,True,True
sonnet,control,17,True,True,True
sonnet,control,18,True,True,True
sonnet,control,19,True,True,True
sonnet,convention,0,True,True,True
sonnet,convention,1,True,True,True
sonnet,convention,2,True,True,True
sonnet,convention,3,True,True,True
sonnet,convention,4,True,True,True
sonnet,convention,5,True,True,True
sonnet,convention,6,True,True,True
sonnet,convention,7,True,True,True
sonnet,convention,8,True,True,True
sonnet,convention,9,True,True,True
sonnet,convention,10,True,True,True
sonnet,convention,11,True,True,True
sonnet,convention,12,True,True,True
sonnet,convention,13,True,True,True
sonnet,convention,14,True,True,True
sonnet,convention,15,True,True,True
sonnet,convention,16,True,True,True
sonnet,convention,17,True,True,True
sonnet,convention,18,True,True,True
sonnet,convention,19,True,True,True
